dt,Hr,Entry Fee,Seats,Rake Percent,Rake,Users,Wager
"July 1, 2018",8,250,6,15.00%,1914,24,12000
"July 1, 2018",8,500,6,12.00%,2160,24,18000
"July 1, 2018",8,1000,6,10.00%,14400,66,144000
"July 1, 2018",8,10000,2,6.00%,18000,12,300000
"July 1, 2018",9,10,2,15.00%,45,21,300
"July 1, 2018",9,10,6,15.00%,969,354,5970
"July 1, 2018",9,25,2,15.00%,114,21,750
"July 1, 2018",9,25,6,15.00%,1653,315,10725
"July 1, 2018",9,50,6,15.00%,1419,129,8850
"July 1, 2018",9,100,2,15.00%,360,6,2400
"July 1, 2018",9,100,6,15.00%,4275,162,26100
"July 1, 2018",9,250,6,15.00%,4950,69,32250
"July 1, 2018",9,500,6,12.00%,2340,30,19500
"July 1, 2018",9,1000,6,10.00%,11400,51,108000
"July 1, 2018",9,3000,6,10.00%,4500,15,45000
"July 1, 2018",9,5000,2,8.00%,2400,6,30000
"July 1, 2018",9,10000,2,6.00%,18000,15,300000
"July 1, 2018",10,10,2,15.00%,141,54,930
"July 1, 2018",10,10,6,15.00%,1080,459,6840
"July 1, 2018",10,25,2,15.00%,135,21,900
"July 1, 2018",10,25,6,15.00%,2385,408,14925
"July 1, 2018",10,50,6,15.00%,2004,192,12900
"July 1, 2018",10,100,2,15.00%,270,15,1800
"July 1, 2018",10,100,6,15.00%,5310,210,33900
"July 1, 2018",10,250,6,15.00%,6525,87,40500
"July 1, 2018",10,500,6,12.00%,2520,33,19500
"July 1, 2018",10,1000,6,10.00%,22200,93,216000
"July 1, 2018",10,3000,6,10.00%,13500,27,126000
"July 1, 2018",10,5000,2,8.00%,2400,6,30000
"July 1, 2018",10,10000,2,6.00%,7200,9,120000
"July 1, 2018",11,10,2,15.00%,162,69,1080
"July 1, 2018",11,10,6,15.00%,1149,483,7290
"July 1, 2018",11,25,2,15.00%,135,21,900
"July 1, 2018",11,25,6,15.00%,2442,435,15150
"July 1, 2018",11,50,2,15.00%,90,6,600
"July 1, 2018",11,50,6,15.00%,3219,282,20550
"July 1, 2018",11,100,2,15.00%,360,9,2400
"July 1, 2018",11,100,6,15.00%,6210,240,39000
"July 1, 2018",11,250,6,15.00%,10239,153,66000
"July 1, 2018",11,500,6,12.00%,1440,21,10500
"July 1, 2018",11,1000,6,10.00%,29100,117,261000
"July 1, 2018",11,3000,2,10.00%,7200,15,72000
"July 1, 2018",11,3000,6,10.00%,1800,6,18000
"July 1, 2018",11,5000,2,8.00%,7200,6,90000
"July 1, 2018",11,10000,2,6.00%,28800,21,480000
"July 1, 2018",12,10,2,15.00%,108,54,720
"July 1, 2018",12,10,6,15.00%,1077,462,6750
"July 1, 2018",12,25,2,15.00%,315,42,2100
"July 1, 2018",12,25,6,15.00%,2499,402,16125
"July 1, 2018",12,50,2,15.00%,315,18,2100
"July 1, 2018",12,50,6,15.00%,2655,243,16800
"July 1, 2018",12,100,2,15.00%,180,9,1200
"July 1, 2018",12,100,6,15.00%,7425,261,45300
"July 1, 2018",12,250,6,15.00%,13050,183,81000
"July 1, 2018",12,500,6,12.00%,6660,60,51000
"July 1, 2018",12,1000,6,10.00%,35100,156,330000
"July 1, 2018",12,3000,2,10.00%,1800,6,18000
"July 1, 2018",12,3000,6,10.00%,8100,21,81000
"July 1, 2018",12,10000,2,6.00%,10800,12,180000
"July 1, 2018",13,10,2,15.00%,207,72,1380
"July 1, 2018",13,10,6,15.00%,1323,522,8220
"July 1, 2018",13,25,2,15.00%,294,54,1950
"July 1, 2018",13,25,6,15.00%,2352,402,14850
"July 1, 2018",13,50,2,15.00%,225,24,1500
"July 1, 2018",13,50,6,15.00%,3420,309,22350
"July 1, 2018",13,100,6,15.00%,6705,288,42000
"July 1, 2018",13,250,6,15.00%,8889,129,53250
